iter	MultiClass
0	1.334869873
1	1.292173
2	1.24978705
3	1.209579231
4	1.173324238
5	1.142436447
6	1.108235646
7	1.080543458
8	1.055082003
9	1.026012185
10	1.005803727
11	0.9849324057
12	0.9636794445
13	0.9437471467
14	0.9219389174
15	0.9030622845
16	0.8849013717
17	0.8657825946
18	0.8497241194
19	0.8336226011
20	0.8182229961
21	0.8049520255
22	0.7942622296
23	0.7811940616
24	0.7674361815
25	0.7537808986
26	0.7411609248
27	0.7319234638
28	0.7207416852
29	0.708972039
30	0.6969314738
31	0.6865300067
32	0.6751824821
33	0.6649778143
34	0.6558151222
35	0.6462457765
36	0.6375494803
37	0.6311892541
38	0.6227834835
39	0.614940016
40	0.6073989981
41	0.6018487607
42	0.5948181664
43	0.5896500833
44	0.5838806648
45	0.5765772564
46	0.5693204493
47	0.5622532123
48	0.556441265
49	0.5483772836
50	0.5415856157
51	0.5362784132
52	0.5308290149
53	0.5251530434
54	0.5193106537
55	0.5152537005
56	0.5105746919
57	0.5045732952
58	0.4998046292
59	0.4942447615
60	0.4894158325
61	0.4845642645
62	0.4803098796
63	0.4747350904
64	0.4709709362
65	0.4658481715
66	0.4611518724
67	0.4581852947
68	0.4539088825
69	0.4495301831
70	0.4444233802
71	0.441417361
72	0.4372521043
73	0.4332589005
74	0.4301946297
75	0.426384315
76	0.4221973156
77	0.4185078108
78	0.4150148248
79	0.4112134807
80	0.4068375158
81	0.4026537579
82	0.3984809869
83	0.3956286548
84	0.392121369
85	0.3888831721
86	0.3861976114
87	0.3829434596
88	0.3798103386
89	0.3768136311
90	0.373483624
91	0.3700420116
92	0.3667814981
93	0.3641111647
94	0.3607377534
95	0.3585596676
96	0.3561512743
97	0.3541150873
98	0.3508391837
99	0.3478881179
100	0.3451587332
101	0.3423419076
102	0.3393456117
103	0.3374790332
104	0.3351652115
105	0.3328814809
106	0.3299955648
107	0.3272165523
108	0.3245948318
109	0.3223710562
110	0.3196953281
111	0.3175108317
112	0.3149975784
113	0.3125478331
114	0.3106629886
115	0.3083937417
116	0.3065396548
117	0.3039599863
118	0.301417438
119	0.2993298138
120	0.2977435573
121	0.2953072887
122	0.2926581316
123	0.2907826292
124	0.2889011478
125	0.2872137356
126	0.2857523908
127	0.2841164912
128	0.2822582705
129	0.2805343366
130	0.2783749356
131	0.2770589222
132	0.2754811242
133	0.2738005911
134	0.2719158361
135	0.2695724968
136	0.2678525339
137	0.2671813764
138	0.265177731
139	0.2637314659
140	0.2620461728
141	0.2603120145
