iter	Passed	Remaining
0	28	11549
1	54	10893
2	79	10512
3	101	10061
4	126	9960
5	147	9714
6	166	9328
7	184	9063
8	202	8807
9	221	8639
10	246	8711
11	264	8543
12	289	8632
13	307	8470
14	322	8283
15	337	8098
16	353	7967
17	378	8039
18	404	8107
19	418	7950
20	434	7847
21	450	7747
22	466	7646
23	484	7597
24	504	7570
25	522	7512
26	543	7511
27	563	7483
28	581	7437
29	599	7390
30	616	7342
31	631	7262
32	647	7205
33	662	7127
34	678	7076
35	706	7145
36	721	7082
37	739	7040
38	757	7013
39	774	6970
40	793	6949
41	810	6911
42	828	6877
43	852	6895
44	869	6862
45	890	6849
46	908	6823
47	927	6800
48	950	6809
49	974	6822
50	1001	6854
51	1021	6839
52	1039	6804
53	1060	6795
54	1081	6783
55	1099	6754
56	1117	6725
57	1135	6694
58	1151	6655
59	1168	6622
60	1186	6595
61	1203	6560
62	1219	6525
63	1237	6494
64	1253	6459
65	1269	6424
66	1287	6398
67	1304	6371
68	1324	6352
69	1343	6333
70	1361	6311
71	1379	6283
72	1394	6247
73	1410	6215
74	1428	6191
75	1447	6170
76	1471	6173
77	1494	6171
78	1515	6156
79	1534	6136
80	1556	6129
81	1573	6103
82	1589	6070
83	1605	6037
84	1623	6015
85	1641	5992
86	1658	5966
87	1674	5936
88	1692	5913
89	1708	5885
90	1727	5865
91	1746	5848
92	1766	5830
93	1785	5811
94	1805	5795
95	1824	5777
96	1842	5753
97	1858	5727
98	1876	5705
99	1892	5677
100	1909	5654
101	1927	5630
102	1944	5606
103	1966	5595
104	1989	5588
105	2008	5572
106	2029	5557
107	2050	5545
108	2073	5534
109	2092	5515
110	2110	5494
111	2126	5469
112	2145	5448
113	2161	5421
114	2177	5396
115	2195	5374
116	2214	5356
117	2235	5341
118	2255	5326
119	2275	5310
120	2293	5288
121	2311	5267
122	2330	5247
123	2348	5226
124	2368	5209
125	2382	5181
126	2399	5157
127	2415	5132
128	2431	5108
129	2449	5087
130	2466	5065
131	2485	5046
132	2503	5026
133	2519	5002
134	2538	4982
135	2556	4962
136	2576	4946
137	2593	4924
138	2611	4902
139	2629	4882
140	2647	4863
141	2665	4842
142	2679	4815
143	2693	4789
144	2708	4763
145	2724	4740
146	2739	4714
147	2753	4688
148	2770	4667
149	2789	4649
150	2811	4635
151	2830	4617
152	2849	4600
153	2869	4584
154	2892	4571
155	2917	4562
156	2942	4553
157	2962	4537
158	2979	4515
159	2994	4491
160	3008	4465
161	3020	4437
162	3032	4409
163	3046	4383
164	3059	4357
165	3072	4331
166	3086	4306
167	3100	4281
168	3116	4259
169	3133	4239
170	3147	4215
171	3163	4193
172	3178	4170
173	3193	4148
174	3208	4125
175	3223	4102
176	3237	4078
177	3251	4055
178	3263	4029
179	3276	4004
180	3289	3980
181	3303	3957
182	3316	3932
183	3330	3909
184	3344	3886
185	3359	3865
186	3375	3844
187	3391	3823
188	3405	3801
189	3419	3779
190	3433	3756
191	3447	3734
192	3463	3714
193	3478	3693
194	3492	3671
195	3506	3649
196	3519	3626
197	3533	3604
198	3546	3581
199	3559	3559
200	3574	3538
201	3590	3519
202	3604	3498
203	3619	3477
204	3633	3456
205	3646	3434
206	3658	3411
207	3672	3390
208	3689	3371
209	3705	3352
210	3719	3331
211	3733	3310
212	3746	3289
213	3760	3268
214	3771	3245
215	3786	3225
216	3800	3204
217	3813	3184
218	3827	3163
219	3841	3142
220	3854	3121
221	3869	3102
222	3883	3082
223	3897	3062
224	3912	3043
225	3927	3023
226	3943	3005
227	3946	2976
228	3961	2958
229	3980	2942
230	3995	2923
231	4010	2903
232	4022	2882
233	4032	2860
234	4045	2840
235	4056	2819
236	4067	2797
237	4081	2777
238	4094	2758
239	4124	2749
240	4136	2729
241	4148	2708
242	4160	2688
243	4172	2667
244	4183	2646
245	4194	2625
246	4207	2606
247	4217	2585
248	4228	2564
249	4241	2544
250	4252	2524
251	4263	2503
252	4277	2485
253	4289	2465
254	4301	2445
255	4314	2426
256	4329	2409
257	4343	2390
258	4357	2372
259	4372	2354
260	4387	2336
261	4402	2318
262	4417	2301
263	4435	2285
264	4451	2267
265	4467	2250
266	4480	2232
267	4495	2214
268	4510	2196
269	4526	2179
270	4542	2162
271	4558	2145
272	4576	2128
273	4591	2111
274	4606	2093
275	4621	2076
276	4637	2059
277	4653	2041
278	4669	2025
279	4686	2008
280	4702	1991
281	4721	1975
282	4739	1959
283	4761	1945
284	4782	1929
285	4804	1914
286	4827	1900
287	4848	1885
288	4871	1871
289	4894	1856
290	4913	1840
291	4932	1824
292	4951	1808
293	4968	1791
294	4986	1774
295	5004	1758
296	5027	1743
297	5046	1727
298	5065	1711
299	5086	1695
300	5108	1680
301	5131	1665
302	5158	1651
303	5182	1636
304	5208	1622
305	5231	1607
306	5253	1591
307	5279	1577
308	5350	1575
309	5509	1599
310	5572	1594
311	5602	1580
312	5630	1565
313	5660	1550
314	5687	1534
315	5713	1518
316	5741	1503
317	5770	1488
318	5794	1471
319	5823	1455
320	5853	1440
321	5883	1425
322	5919	1411
323	5950	1395
324	5982	1380
325	6012	1364
326	6042	1348
327	6075	1333
328	6105	1317
329	6138	1302
330	6165	1285
331	6195	1268
332	6220	1251
333	6247	1234
334	6278	1218
335	6308	1201
336	6333	1183
337	6362	1167
338	6388	1149
339	6410	1131
340	6432	1112
341	6452	1094
342	6471	1075
343	6489	1056
344	6506	1037
345	6522	1017
346	6536	998
347	6552	979
348	6567	959
349	6585	940
350	6598	921
351	6612	901
352	6624	882
353	6639	862
354	6654	843
355	6667	824
356	6680	804
357	6692	785
358	6708	766
359	6722	746
360	6734	727
361	6746	708
362	6757	688
363	6770	669
364	6783	650
365	6797	631
366	6809	612
367	6825	593
368	6841	574
369	6857	555
370	6874	537
371	6889	518
372	6904	499
373	6920	481
374	6934	462
375	6948	443
376	6961	424
377	6972	405
378	6984	386
379	6996	368
380	7008	349
381	7020	330
382	7033	312
383	7044	293
384	7058	274
385	7069	256
386	7082	237
387	7095	219
388	7108	201
389	7120	182
390	7132	164
391	7144	145
392	7158	127
393	7170	109
394	7184	90
395	7198	72
396	7211	54
397	7224	36
398	7236	18
399	7247	0
